,Translated Tweets
839,So it makes no sense for other profs to require that the webcam must be on during the whole duration of synchronous online classes.
840,"If our arguments are invalid for you, then maybe you should look for your excuses too during our synchronous classes.

I'm not complaining, but if that's the only way we encounter anyone, maybe it will be full"
841,Synchronous pero out of reach. Kfine.
842,@Jaybee_Good Me when Juwaw mastered the synchronous singing 🤧
843,"thursday 5pm:
synchronous class x pishbol, kikiam, kwekkwek whahahahahahaa"
844,"It's already hot, there's no electricity yet. I have a synchronous class later. What now."
845,It's asynchronous
846,"Those who NEVER recite in synchronous sessions...

I HOPE YOUR SALIVA IS NOT YET!!! Kauma, then the submission score will increase? The brain, it's really bad! 👏👏👏"
847,Synchronous class in 5 minutes. :) https://t.co/5Y3jXceI76
848,pls wake me up at 9:45 there is a synchronous class even messengerrrr call plsplsplspls I'm not sorry my alarm yaw
849,"In synchronous class, I don't wake up very early, but for you, I wake up rabidly"
850,"So I had my synchronous class with my Gr. 12 students and I caught one of these kids who have been bombarding my curious cat. I just said ""If you are flirtatious or flirtatious, at least put some quality on yourself. Be flirtatious, smart or be flirtatious, socially aware ganern!!"""
851,"""Synchronous Zoom lecture where you'll watch a recorded video"" https://t.co/LBowYSEuJG"
852,@jasondadodes Consider this: synchronous but different from recorded lec. SCAM.
853,Omg I don't have a voice when I'm tired of talking on zoom... what about the synchronous classes???
854,"Why, there is still a plan to be synchronous"
855,"Usto mo yon? Attending synchronous class, while attending webinar and doing asnychronous task simultaneously?"
856,"I was thrilled, we reported on fil40 and they said SKSKSK was good, I even made my own slang there

labs &gt; sink &gt; sink &gt; synch &gt; synchronous classes
flames &gt; asynch

HAHAHAHUHUHU 500 iq"
857,"Taena is always synchronous. Are you working, Mr. Kaiyak?"
858,synchronous 😴
859,I suddenly missed synchronous session with Sir Bidang 🤧❤️
860,"A lot of people will feel again, why you? ""ALL Synchronous Meetings will resume, be on time!"" 🥴😩"
861,"Not Synchronous because eh hehe.
Tigas wants to head haha! On Monday he will be able to go to Manila first or Noveleta, Cavite. https://t.co/SMbm5WIryB"
862,"Just had our last synchronous classes this afternoon. Started with asking how everyone is doing with the ongoing lockdown and tried to synthesize everything we learned this quarter. Ended of course with a class photo.

Teaching is indeed my happy place. :)

#ateneokidsareallright https://t.co/6hDo8PvdGS"
863,You still have 4 minutes to announce the suspension of synchronous classes lol
864,"After every synchronous meeting, I asked my students to submit a one-liner key takeaway from our lesson that day.

One of my students have submitted: ""A state function does not depend on the system's past or future.""

👏👏👏"
865,"They say it's just synchronous, nothing, I hope Jesus will take you to the cross"
866,the haha ​​of our synchronous tomorrow myghad HAHAHA
867,Lots of homework. There are still video recordings then 3x a week still synchronous class hayssss what are you 6units?
868,"@genesacademy I do check the attendance of my synchronous classes, well, for monitoring purposes. Someone is attending BUT not accomplishing the required and graded task afterwards. With that, I somehow give considerations, say 10% especially if 90% of the tasks are NONE. Well, they hang. 😅"
869,until now I still don't know my synchronous schedule 🙂
870,"""Content can enable learning, but it cannot provide an education."" Powerpoints and video tutorials are helpful... but they cannot replace interactive learning. So kids, don't skip your synchronous classes. You'll miss a lot :) https://t.co/TOZSfSBEJD"
871,It turns out that the 10am class is synchronous and I just woke up now 😌
872,"Tiredness is different from synchronous classes today, the ineettttt."
873,"Ahkkk done synchronously in Rizal. You know, ma'am, even though you're a bit stubborn, you're still hands up in your teaching! 🥺 that's why the rizal subject is my fave 💗"
874,HOY AHCKK SYNCHRONOUS CLASS KAMI AHCKK 🤧
875,"So we only have one synchronous tomorrow, it's fun, it's fun AHHAHAHA, please make a sched, it can't be followed hmp hahahaha"
876,The recorded synchronous class I'm downloading is taking too long because of the people who are sleeping in class HAHAHAHA
877,Synchronous session again... ONLINE CLASS again means... Waaaa!!! 😭😭😭😭
878,There was a synchronous meeting and I was about to take a shower
879,"Synchronous is basic now, just the right games, you already have grades 😊💗"
880,It's a terrible day. I only have two synchronous subj but I'm tired of finding contestants hahaha song
881,I mean two synchronous ones. 😂
882,taena synchronous tomorrow but here I am still awake!!!!
883,"Do you agree to return the school year to June-March?

Seniors moved the start of the school calendar to August at the beginning of the pandemic to prepare for distance learning. #ABSCBNNewsapan

Related report: https://t.co/JlwiifddBH https://t.co/7tlFhheb2f"
884,"So as not to disrupt the learning process, original enrollees of the school hold classes in the morning while afternoons are for evacuees. Others shifted to modular distance learning. | Video by Connie Calipay"
885,"(1/2) #WalangPasok | As of 11:55AM, the following places have announced the suspension of classes due to the magnitude 6.3 earthquake that shook Calatagan, Batangas:

- Alfonso, Cavite (all levels, public schools; classes are shifted to modular distance learning); https://t.co/59H6C9ey77"
886,"#WalangPasok: Classes are also suspended in public schools in Alfonso, Cavite due to the impact of the magnitude 6.3 earthquake. Schools are advised to conduct modular distance learning first, according to Mayor Randy Salamat | DZRH News https://t.co/u6pnXtCeeZ"
887,@endlessnine09 He's distance learning or homeschooling and he's a model student💙🤍
888,"@_mrbld Speaking of Masters, I'd like to do it again but I hope it's distance learning. Case with the cost and all, I have to delay it first. By 2023, hopefully the budget will be relaxed again. 🥲"
889,"LEB Commissioners Lorenzo Reyes, Josefe Sorrera-Ty, Salex Alibogha, and Alexander Dumpa take part in the Asian Development Bank Consultation on Legal Education Pedagogy for Distance Learning at the ADB Headquarters. https://t.co/1Gj6GnW9gk"
890,"Private schools allowed to continue implementing blended, full distance learning beyond November 2. @DepEd_PH issues amendment to DO34, which initially said all public and private schools must shift to full in person classes by November @cnnphilippines https://t.co/QelG5JMdfm"
891,"@DepEd_PH, the continued implementation of blended and full distance learning in private schools is allowed after November 2.

This was confirmed by Atty Michael Poa, DepEd spokesperson. https://t.co/xw4j8hJB2K"
892,"I pity kids who were forced into distance learning by the pandemic. I, as an adult, struggled with adjusting to online classes in UPOU because I have a full-time job. How much more these kids whose parents cannot guide them enough?W"
893,"@daneydanedayne Hahaha, really, distance learning/online classes don't engage the same way physical classes do for me. But hey, Spanish is useful ah! Second most widely spoken language in the world + similarities to Filipino! Japanese is harder for me 😅
日本語は大変な"
894,"When I donated boxes of A4 bond papers + yellow pads for the modules of distance learning kids in the flooded town of Isla Pugad in Bulacan. Their place sinks at night and is eaten by water, especially when it rains. How are they alive? Help us?
#DreamsForYourDreams https://t.co/aKAh91rIot"
895,"Ilocos Norte tablet distribution to Loaageños last week ✌🏾 ✌🏾✌🏾

Hoping that these tablets help your children with distance learning while face to face classes start to resume ❤️💚❤️💚 @ Laoag, Ilocos Norte https://t.co/A8WZPdvAsk"
896,@dothinkeducate Thank you! So exciting right? The kids are still in distance learning BUT we’re hopeful that this is a positive step in the right direction! 🤞🏽🤞🏽🤞🏽💕
897,"According to teacher Nestor Reyes, I hope the government will also help them so that they can teach the children better. He said the quality of education in the country has decreased due to distance learning. https://t.co/JXVSQZ0v8y"
898,"First day of school 😊
am i ready 🤔😂
#grade3student
#DistanceLearning

PS: The TShirt you are wearing is familiar to me 😂
It's your size and it fits you 😂 @ Valenzuela City https://t.co/zwJRbXQuav"
899,"""The quality of education was already falling, but it has fallen further because of sloppy and underfunded distance learning and because of the sloppy response to the pandemic.

So as teachers, our verdict is not just failure, but kick out."" -Solita Daz, @actph1982 https://t.co/d5xqwRIKhQ"
900,"The jobs of our TEACHERS are heavier in this era of Distance Learning than in the F2F mode.

Work/Teach From Home is really a big NO!"
901,"Thank you, St. Jude @phinmaeducation for these prepaid Load Cards for my advisory students. This will augment their distance learning needs. Padayon! https://t.co/rRFfLWF18o"
902,"Thankful for unexpected rly great bonds formed bc of distance learning. 💖 med life is a pain, but it’s true that the people you’re with through the journey makes it worth it. #MD2023"
